,Name,Institution(s),Country/Territory,Researcher ID,Keywords,Other Names
"Princeton University ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,D-8237-2012,,M. Z. Hasan  
861,Deloukas Panos   ,,,
"Queen Mary University of London, QMUL ; King Abdulaziz University, KAU  ",United Kingdom ,B-2922-2013,,
862,Blatov Vladislav   ,,,
"Samara State University ; King Abdulaziz University (KAU), Jeddah, Saudi Arabia  ",Russia ,B-9962-2012,"theoretical crystal chemistry, theoretical materials science, software and databases in crystallography and crystal chemistry  ","Blatov, V.A.  "
863,Kasprzyk Arek   ,,,
"San Raffaele Scientific Institute ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Italy ,D-6525-2014,,
864,Godzik Adam   ,,,
Sanforf-Burnham Institute for Medical Research ; King Abdulaziz University  ,United States ,A-7279-2009,,
865,Liao Shijun   ,,,
"Shanghai Jiao Tong University, Shanghai, China ; King Abdulaziz University (KAU), Jeddah, Saudi Arabia  ",China ,A-8808-2013,"homotopy analysis method, chaos, nonlinear waves, nonlinear dynamics, viscous flows  ","Liao, Shi-Jun, Liao, S.  "
866,Cui Weicheng   ,,,
"Shanghai Ocean University, SHOU (______) ; King Abdulaziz University, Saudi Arabia  ",China ,D-1472-2013,submersible design  ,
867,Grabchev Ivo   ,,,
"Sofia University “St. Kliment Ohridski"" ; King Abdulaziz University  ",Bulgaria ,B-6403-2013,"dyes, 1,8-naphthalimide, dendrimers, fluorescent polymers, sensors, photophysics, photochemistry, smart materials, microbiological, antibacterial  ","Grabchev I., Grabchev Ivo, Grabtchev I, Grabtchev Ivo  "
868,Cao Jinde   ,,,
"Southeast Univeristy ; King Abdulaziz University, Jeddah, Saudi Arabia  ",China ,D-1482-2012,"complex network, neural networks, neurodynamics, stability analysis, nonlinearity  ",
869,Yu Wenwu   ,,,
Southeast University ; King Abdulaziz University  ,China ,G-5496-2012,"complex network, multi-agent systems, neural networks, nonlinear dynamics and control, smart grids  ",
870,Liang Jinling  ,,,
Southeast University of P.R. China ; King Abdulaziz University  ,China ,C-6875-2011,"neural networks, complex networks, nonlinear systems, bioinformatics  ",
871,Cioffi John   Highly Cited Researcher Icon ,,,
Stanford University / King Abdulaziz University ; King Abdulaziz University KAU  ,United States ,A-5965-2012,,
872,Abdelmoneim Tamer   ,,,
